2018_rank,name,2018_net_worth,age,2018_source,2018_country,2018_industry,founder,some_wealth_inheritance,major_wealth_inheritance,ethnicity,misc
343,vincent bolloré,5.1,67,investments,france,,,,,,
343,jack dorsey,5.1,42,twitter,square,united states,software,yes,no,no,white
343,guenther fielmann,5.1,79,optometry,germany,,,,,,
343,ivan glasenberg,5.1,62,mining,switzerland,,,,,,
343,john gokongwei,jr,5.1,92,diversified,philippines,,,,,
343,paul tudor jones,ii.,5.1,64,hedge funds,united states,investment,no,no,no,white
343,liu yongxing,5.1,71,diversified,china,,,,,,
343,wolfgang marguerre,5.1,78,pharmaceuticals,germany,,,,,,
343,gabriella meister,5.1,71,appliances,germany,,,,,,
343,emanuele (lino) saputo,5.1,82,cheese,canada,,,,,,
343,tang shing-bor,5.1,85,real estate,hong kong,,,,,,
355,shari arison,5,61,carnival cruises,israel,,,,,,
355,jean-michel besnier,5,52,cheese,france,,,,,,
355,marie besnier beauvalot,5,38,cheese,france,,,,,,
355,chen lip keong,5,72,casinos,property,energy,malaysia,,,,
355,martha ingram,5,83,book distribution,transportation,united states,heavy industry,no,yes,yes,white
355,charles johnson,5,86,money management,united states,finance,no,no,no,white,
355,joe lewis,5,82,investments,united kingdom,,,,,,
355,alain merieux,5,81,pharmaceuticals,france,,,,,,
355,john paulson,5,63,hedge funds,united states,investment,no,no,no,white,
355,robert f. smith,5,56,private equity,united states,investment,no,no,no,black,
365,acharya balkrishna,4.9,46,consumer goods,india,,,,,,
365,robert bass,4.9,71,oil,investments,united states,oil and gas,no,yes,no,white
365,rene benko,4.9,42,real estate,retail,austria,,,,,
365,bernard broermann,4.9,75,hospitals,germany,,,,,,
365,clive calder,4.9,72,record label,united kingdom,,,,,,
365,bidzina ivanishvili,4.9,63,investments,georgia,,,,,,
365,jiang rensheng,4.9,65,vaccines,china,,,,,,
365,nathan kirsh,4.9,87,retail,real estate,swaziland,,,,,
365,ted lerner,4.9,93,real estate,united states,real estate,no,no,no,white,jewish
365,li shuirong,4.9,63,petrochemicals,china,,,,,,
365,pan sutong,4.9,56,real estate,finance,hong kong,,,,,
365,j. christopher reyes,4.9,65,food distribution,united states,alcohol,no,yes,no,white,
365,jude reyes,4.9,63,food distribution,united states,alcohol,no,yes,no,white,
365,takahisa takahara,4.9,58,personal care goods,japan,,,,,,
379,maria fernanda amorim,4.8,84,energy,investments,portugal,,,,,
379,bajaj brothers,4.8,-,diversified,india,,,,,,
379,david filo,4.8,53,yahoo,united states,software,yes,no,no,white,
379,michel leclercq,4.8,80,sporting goods,france,,,,,,
379,ludwig merckle,4.8,54,pharmaceuticals,germany,,,,,,
379,hiroshi mikitani,4.8,54,online retail,japan,,,,,,
379,robert miller,4.8,86,retail,united kingdom,,,,,,
379,karen pritzker,4.8,61,hotels,investments,united states,hotels,no,yes,yes,white
379,enrique razon,jr,4.8,59,ports,philippines,,,,,
